,,,,VFA-CF,,,,VFA-2S,,,,MH,,,,ME,,,,Oprd_PE,,,
beta,delta,c,#instances,gap[%],gap_ub[%],t[s],freq,gap[%],gap_ub[%],t[s],freq,gap[%],gap_ub[%],t[s],freq,gap[%],gap_ub[%],t[s],freq,gap[%],gap_ub[%],t[s],freq
0.5,0,0.6,12,6.67,20.24,38.71,9,4.44,18.16,27.04,9,27.28,38.05,0.20,0,7.27,20.10,1.07,6,39.12,44.29,135.65,6
,0,0.8,12,13.90,25.96,49.19,6,13.90,25.96,26.79,6,39.74,47.43,0.19,0,29.78,38.00,21.16,0,9.64,19.50,110.64,6
,0,1,12,9.18,26.45,36.79,6,9.18,26.45,31.72,6,39.29,50.59,0.19,0,30.35,42.85,151.00,0,8.33,24.72,144.39,9
,0,1.2,12,10.25,24.30,39.43,4,10.29,24.32,58.54,4,38.48,47.80,0.18,0,27.71,38.59,155.86,0,4.41,18.41,227.02,9
,,AVG,12,10.00,24.24,41.03,6.3,9.45,23.72,36.02,6.3,36.20,45.97,0.19,0,23.78,34.88,82.27,1.5,15.38,26.73,154.42,7.5
,0.5,0.6,12,22.25,28.45,26.72,4,22.25,28.45,27.25,4,23.83,29.04,0.23,2,12.33,18.50,26.05,5,6.19,11.52,97.49,10
,0.5,0.8,12,8.81,22.39,40.90,5,10.12,23.46,37.90,4,28.48,37.73,0.19,0,19.95,30.67,33.83,3,17.22,29.28,186.41,8
,0.5,1,12,4.13,21.97,46.71,8,5.78,23.21,85.26,5,32.34,44.21,0.21,0,23.67,36.83,26.18,2,25.79,37.36,156.92,7
,0.5,1.2,12,8.53,20.83,77.94,3,10.96,22.91,54.81,1,36.18,44.25,0.22,0,26.47,35.80,37.18,0,17.47,27.47,246.14,8
,,AVG,12,10.93,23.41,48.07,5.0,12.28,24.51,51.31,3.5,30.21,38.81,0.21,0.5,20.60,30.45,30.81,2.5,16.67,26.41,171.74,8.3
,1,0.6,12,23.69,31.70,32.92,3,22.86,30.87,32.19,3,34.97,39.99,0.22,0,23.15,28.42,55.71,0,5.06,11.85,133.92,10
,1,0.8,12,11.15,25.16,49.66,4,10.79,24.76,34.91,4,35.31,44.29,0.18,0,26.58,36.83,90.07,0,4.31,18.09,151.79,7
,1,1,12,9.19,24.43,215.04,3,7.92,23.43,89.54,3,34.41,45.18,0.20,0,24.98,37.23,57.36,0,2.88,18.37,194.83,8
,1,1.2,12,7.32,20.50,124.82,5,9.66,22.39,121.17,3,34.49,43.48,0.20,0,23.59,33.90,65.85,0,5.01,17.47,319.38,9
,,AVG,12,12.84,25.45,105.61,3.8,12.81,25.36,69.45,3.3,34.79,43.24,0.20,0,24.58,34.09,67.25,0.0,4.31,16.44,199.98,8.5
,AVG,,12,11.26,24.36,64.90,5.0,11.51,24.53,52.26,4.3,33.73,42.67,0.20,0.2,22.99,33.14,60.11,1.3,12.12,23.19,175.38,8.1
1,0,0.6,12,6.58,37.98,62.46,6,6.89,38.17,43.72,6,30.46,54.26,0.29,0,18.88,47.01,52.34,1,14.63,41.61,387.09,5
,0,0.8,12,3.83,23.47,84.24,6,4.61,24.14,50.01,6,24.86,39.84,0.21,0,13.10,30.33,271.39,0,2.82,22.53,514.36,6
,0,1,12,2.71,11.98,37.72,6,1.16,10.45,28.89,10,12.54,20.80,0.18,0,3.82,12.59,154.01,6,6.76,15.89,646.12,4
,0,1.2,12,2.56,4.00,34.81,3,2.56,4.00,31.61,3,4.07,5.50,0.19,0,1.01,2.50,1.35,6,22.52,23.50,947.33,6
,,AVG,12,3.92,19.36,54.81,5.3,3.81,19.19,38.56,6.3,17.98,30.10,0.22,0,9.20,23.11,119.77,3.3,11.68,25.88,623.72,5.3
,0.5,0.6,12,8.56,35.41,53.22,5,6.65,33.97,38.63,6,29.44,49.99,0.23,0,21.16,44.73,12.65,0,33.31,49.80,316.72,5
,0.5,0.8,12,2.53,27.44,50.81,8,4.34,28.85,39.47,5,24.19,42.85,0.23,0,12.38,34.16,175.12,2,37.02,53.02,409.02,2
,0.5,1,12,4.90,16.30,50.31,5,4.95,16.14,39.31,5,15.14,24.59,0.24,2,7.85,18.69,103.67,3,2.61,13.96,620.31,6
,0.5,1.2,12,2.82,8.67,38.20,6,2.90,8.67,33.09,5,8.13,13.17,0.20,1,4.41,10.00,53.67,2,6.34,11.83,688.02,11
,,AVG,12,4.71,21.95,48.13,6.0,4.71,21.91,37.62,5.3,19.22,32.65,0.23,0.8,11.45,26.90,86.28,1.8,19.82,32.15,508.52,6.0
,1,0.6,12,3.28,29.42,50.48,8,5.81,31.21,44.08,5,26.37,46.19,0.29,0,12.15,36.06,75.96,2,14.16,37.13,331.45,2
,1,0.8,12,6.30,18.52,39.82,2,7.59,19.50,35.44,1,18.74,28.90,0.24,0,11.65,22.74,87.59,3,1.35,14.32,489.73,9
,1,1,12,3.80,10.52,35.97,3,3.71,10.52,30.44,3,11.67,17.07,0.22,1,6.43,12.63,76.41,6,0.78,7.69,638.89,11
,1,1.2,12,0.71,3.92,32.51,8,0.71,3.92,28.58,8,5.71,8.28,0.20,5,2.74,5.60,52.49,8,1.02,4.09,769.08,11
,,AVG,12,3.52,15.60,39.69,5.3,4.45,16.29,34.64,4.3,15.62,25.11,0.24,1.5,8.24,19.26,73.11,4.8,4.32,15.81,557.29,8.3
,AVG,,12,4.05,18.97,47.54,5.5,4.32,19.13,36.94,5.3,17.61,29.29,0.23,0.8,9.63,23.09,93.05,3.3,11.94,24.61,563.18,6.5
1.5,0,0.6,12,1.59,25.78,46.31,8,1.61,25.79,43.42,7,19.48,39.26,0.21,0,6.24,29.22,152.78,3,49.84,61.71,608.24,3
,0,0.8,12,2.24,5.20,32.45,6,2.99,5.89,32.85,6,7.63,10.37,0.20,3,1.58,4.68,0.45,6,0.52,3.63,958.10,9
,0,1,12,0.00,0.00,30.46,12,0.00,0.00,29.11,12,1.53,1.53,0.21,3,0.51,0.51,0.44,9,4.42,4.42,743.77,8
,0,1.2,12,0.00,0.00,31.82,12,0.00,0.00,29.13,12,0.00,0.00,0.21,12,0.00,0.00,0.48,12,0.00,0.00,843.10,12
,,AVG,12,0.96,7.75,35.26,9.5,1.15,7.92,33.63,9.3,7.16,12.79,0.21,4.5,2.08,8.60,38.54,7.5,13.69,17.44,788.30,8.0
,0.5,0.6,12,5.58,30.53,51.72,4,4.93,30.14,41.38,4,15.43,38.71,0.25,2,8.04,33.11,25.60,5,25.88,45.78,494.29,6
,0.5,0.8,12,5.31,17.18,41.22,5,6.49,18.28,34.88,1,10.99,21.90,0.26,0,5.04,16.77,2.25,4,13.13,23.15,633.82,7
,0.5,1,12,0.98,5.60,33.55,8,0.98,5.60,30.24,8,4.35,8.66,0.22,3,2.25,6.62,5.09,10,1.61,6.29,766.38,6
,0.5,1.2,12,0.88,2.00,32.80,10,0.33,1.50,29.63,11,2.84,3.83,0.23,7,1.30,2.33,0.88,10,0.38,1.50,649.83,11
,,AVG,12,3.19,13.83,39.82,6.8,3.18,13.88,34.03,6.0,8.40,18.28,0.24,3.0,4.16,14.71,8.46,7.3,10.25,19.18,636.08,7.5
,1,0.6,12,4.20,27.11,41.36,6,6.03,28.48,36.14,3,15.01,35.23,0.29,0,6.32,28.73,151.81,4,10.08,30.82,490.97,7
,1,0.8,12,3.23,10.89,37.81,3,5.95,13.21,35.51,2,9.29,16.04,0.21,1,5.69,12.88,1.58,3,0.93,8.64,784.49,11
,1,1,12,1.12,4.08,33.06,9,1.48,4.42,30.57,7,3.17,5.95,0.19,7,0.17,3.23,0.80,11,3.12,5.95,757.84,7
,1,1.2,12,0.17,0.83,31.91,11,0.17,0.83,29.48,11,1.02,1.67,0.23,8,0.17,0.83,0.62,11,0.34,1.00,761.20,10
,,AVG,12,2.18,10.73,36.04,7.3,3.41,11.74,32.92,5.8,7.12,14.72,0.23,4.0,3.09,11.42,38.71,7.3,3.62,11.60,698.63,8.8
,AVG,,12,2.11,10.77,37.04,7.8,2.58,11.18,33.53,7.0,7.56,15.26,0.23,3.8,3.11,11.58,28.57,7.3,9.19,16.07,707.67,8.1
AVG,,,12,5.80,18.03,49.83,6.1,6.14,18.28,40.91,5.5,19.63,29.07,0.22,1.6,11.91,22.60,60.58,4.0,11.08,21.29,482.08,7.6
